"season","seasonType","week","poll","rank","school","conference","points","year","points_missing"
2018,"regular",2,"AP Top 25",2,"Clemson","ACC",1467,2018,0
2018,"regular",2,"AP Top 25",12,"Virginia Tech","ACC",777,2018,0
2018,"regular",2,"AP Top 25",22,"Miami","ACC",241,2018,0
2018,"regular",2,"AP Top 25",20,"Boise State","Mountain West",391,2018,0
2018,"regular",2,"AP Top 25",4,"Ohio State","Big Ten",1262,2018,0
2018,"regular",2,"AP Top 25",15,"Michigan State","Big Ten",684,2018,0
2018,"regular",2,"AP Top 25",21,"Michigan","Big Ten",318,2018,0
2018,"regular",2,"AP Top 25",13,"Penn State","Big Ten",768,2018,0
2018,"regular",2,"AP Top 25",5,"Wisconsin","Big Ten",1258,2018,0
2018,"regular",2,"AP Top 25",6,"Oklahoma","Big 12",1251,2018,0
2018,"regular",2,"FCS Coaches Poll",8,"Kennesaw State","Big South",447,2018,0
2018,"regular",2,"FCS Coaches Poll",24,"Austin Peay","OVC",59,2018,0
2018,"regular",2,"FCS Coaches Poll",15,"Elon","CAA",250,2018,0
2018,"regular",2,"FCS Coaches Poll",23,"Stony Brook","CAA",79,2018,0
2018,"regular",2,"FCS Coaches Poll",11,"Villanova","CAA",368,2018,0
2018,"regular",2,"FCS Coaches Poll",22,"New Hampshire","CAA",95,2018,0
2018,"regular",2,"FCS Coaches Poll",25,"Maine","CAA",54,2018,0
2018,"regular",2,"FCS Coaches Poll",2,"James Madison","CAA",614,2018,0
2018,"regular",2,"FCS Coaches Poll",17,"Central Arkansas","Southland",247,2018,0
2018,"regular",2,"FCS Coaches Poll",12,"Jacksonville State","OVC",348,2018,0
2018,"regular",2,"FCS Coaches Poll",4,"Sam Houston","Southland",565,2018,0
2018,"regular",2,"FCS Coaches Poll",6,"North Carolina A&T","MEAC",479,2018,0
2018,"regular",2,"FCS Coaches Poll",5,"Eastern Washington","Big Sky",524,2018,0
2018,"regular",2,"FCS Coaches Poll",16,"Montana","Big Sky",248,2018,0
2018,"regular",2,"FCS Coaches Poll",20,"Northern Arizona","Big Sky",175,2018,0
2018,"regular",2,"FCS Coaches Poll",13,"Weber State","Big Sky",315,2018,0
2018,"regular",2,"FCS Coaches Poll",1,"North Dakota State","MVFC",650,2018,0
2018,"regular",2,"FCS Coaches Poll",3,"South Dakota State","MVFC",585,2018,0
2018,"regular",2,"FCS Coaches Poll",19,"Illinois State","MVFC",205,2018,0
2018,"regular",2,"FCS Coaches Poll",18,"Northern Iowa","MVFC",206,2018,0
2018,"regular",2,"FCS Coaches Poll",9,"Samford","Southern",434,2018,0
2018,"regular",2,"FCS Coaches Poll",21,"Furman","Southern",102,2018,0
2018,"regular",2,"FCS Coaches Poll",7,"Wofford","Southern",461,2018,0
2018,"regular",2,"FCS Coaches Poll",14,"McNeese","Southland",296,2018,0
2018,"regular",2,"FCS Coaches Poll",10,"Nicholls","Southland",392,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",12,"Ohio Dominican","Great Midwest Athletic",391,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",15,"Central Washington","Great Northwest",304,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",13,"West Florida","Gulf South",384,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",1,"East Texas A&M","Lone Star",812,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",16,"Minnesota Duluth","Northern Sun",259,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",24,"Sioux Falls","Northern Sun",112,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",11,"Winona State","Northern Sun",470,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",2,"Minnesota State Mankato","Northern Sun",780,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",18,"West Chester","Pennsylvania State Athletic",206,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",3,"Indiana-Pennsylvania","Pennsylvania State Athletic",722,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",19,"Colorado Mesa","Rocky Mountain",201,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",9,"CSU Pueblo","Rocky Mountain",531,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",6,"Ferris State","GLIAC",658,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",5,"Grand Valley State University","GLIAC",684,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",21,"Harding University","Great American",182,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",14,"Ouachita Baptist","Great American",326,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",25,"Southern Arkansas","Great American",92,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",22,"Indianapolis","Great Lakes",169,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",8,"West Alabama","Gulf South",558,2018,0
2018,"regular",2,"AFCA Division II Coaches Poll",7,"Midwestern State","Lone Star",656,2018,0
